datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
8/1/1984 17:00,42.1,,69,69
7/1/1984 17:00,69,,47,47
6/1/1984 17:00,47,,-7.4,-7.4
5/1/1984 17:00,-7.4,,2,2
4/1/1984 17:00,2,,35.3,35.3
3/1/1984 17:00,35.3,,-18.8,-18.8
2/1/1984 17:00,-18.8,,25.4,25.4
1/1/1984 17:00,25.4,,-1.3,-1.3
12/1/1983 17:00,-1.3,,-10.9,-10.9
11/1/1983 17:00,-10.9,,47.6,47.6
10/1/1983 17:00,47.6,,53.2,53.2
9/1/1983 17:00,53.2,,52,52
8/1/1983 17:00,52,,68.9,68.9
7/1/1983 17:00,68.9,,19.9,19.9
6/1/1983 17:00,19.9,,57.7,57.7
5/1/1983 17:00,57.7,,56.7,56.7
4/1/1983 17:00,56.7,,17.1,17.1
3/1/1983 17:00,17.1,,27,27
2/1/1983 17:00,27,,10,10
1/1/1983 17:00,10,,-23.1,-23.1
12/1/1982 17:00,-23.1,,-19.5,-19.5
11/1/1982 17:00,-19.5,,-29.6,-29.6
10/1/1982 17:00,-29.6,,-57.3,-57.3
9/1/1982 17:00,-57.3,,-47,-47
8/1/1982 17:00,-47,,-81.3,-81.3
7/1/1982 17:00,-81.3,,-54.4,-54.4
6/1/1982 17:00,-54.4,,-64.2,-64.2
5/1/1982 17:00,-64.2,,-26.4,-26.4
4/1/1982 17:00,-26.4,,-38.7,-38.7
3/1/1982 17:00,-38.7,,-30.4,-30.4
2/1/1982 17:00,-30.4,,-55.5,-55.5
1/1/1982 17:00,-55.5,,-8.6,-8.6
12/1/1981 17:00,-8.6,,-28.6,-28.6
11/1/1981 17:00,-28.6,,-25.1,-25.1
10/1/1981 17:00,-25.1,,17.4,17.4
9/1/1981 17:00,17.4,,-39.2,-39.2
8/1/1981 17:00,-39.2,,29.8,29.8
7/1/1981 17:00,29.8,,30,30
6/1/1981 17:00,30,,37.1,37.1
5/1/1981 17:00,37.1,,-4.6,-4.6
4/1/1981 17:00,-4.6,,76.8,76.8
3/1/1981 17:00,76.8,,66.5,66.5
2/1/1981 17:00,66.5,,13,13
1/1/1981 17:00,13,,43.9,43.9
12/1/1980 17:00,43.9,,31.2,31.2
11/1/1980 17:00,31.2,,81.6,81.6
10/1/1980 17:00,81.6,,35.3,35.3
9/1/1980 17:00,35.3,,-1.8,-1.8
8/1/1980 17:00,-1.8,,45.2,45.2
7/1/1980 17:00,45.2,,-46.7,-46.7
