datetime,GE_SPMI_MoM_Actual,GE_SPMI_MoM_Srv_Med,GE_SPMI_MoM_Revised,GE_SPMI_MoM_Prior,Is_P
2009-05-21 15:30:00,46.0,44.2,43.8,43.5,0
2014-10-23 15:30:00,54.8,55.0,55.7,55.4,1
2014-10-03 15:55:00,55.7,55.4,55.4,54.9,0
2009-04-23 15:30:00,43.5,42.6,42.3,41.7,0
2009-03-24 16:30:00,41.7,41.2,41.3,41.6,0
2014-09-23 15:30:00,55.4,54.6,54.9,56.4,1
2009-02-20 16:30:00,41.6,45.0,45.2,45.4,0
2014-09-03 15:55:00,54.9,56.4,56.4,56.7,0
2009-01-23 16:30:00,45.4,45.5,46.6,46.4,0
2014-08-21 15:30:00,56.4,55.7,56.7,56.6,1
2008-12-16 16:30:00,46.4,44.0,45.1,46.2,0
2014-08-05 15:55:00,56.7,56.6,56.6,54.6,0
2008-11-21 16:30:00,46.2,47.6,48.3,49.7,0
2014-07-24 15:30:00,56.6,54.5,54.6,54.8,1
2008-10-24 15:30:00,49.7,49.0,50.2,49.3,0
2014-07-03 15:55:00,54.6,54.8,54.8,56.0,0
2008-09-23 15:30:00,49.3,50.6,51.4,50.6,0
2014-06-23 15:30:00,54.8,55.7,56.0,56.4,1
2014-06-04 15:55:00,56.0,56.4,56.4,54.7,0
2008-08-21 15:30:00,50.6,52.2,53.1,53.3,0
2008-07-24 15:30:00,53.3,51.5,52.1,53.3,0
2014-05-22 15:30:00,56.4,54.5,54.7,55.0,1
2014-05-06 15:55:00,54.7,55.0,55.0,53.0,0
2008-06-23 15:30:00,53.3,53.1,53.8,53.7,0
2008-05-23 16:30:00,53.7,54.0,54.9,54.6,0
2014-04-23 15:30:00,55.0,53.4,53.0,54.0,1
2008-04-23 15:30:00,54.6,51.5,51.8,52.5,0
2014-04-03 15:55:00,53.0,54.0,54.0,55.9,0
2014-03-24 16:30:00,54.0,55.5,55.9,55.4,1
2008-03-20 16:30:00,52.5,52.0,52.2,52.2,0
2014-03-05 16:53:00,55.9,55.4,55.4,53.1,0
2014-02-20 16:28:00,55.4,53.4,53.1,53.6,1
2014-02-05 16:53:00,53.1,53.6,53.6,53.5,0
2014-01-23 16:28:00,53.6,54.0,53.5,54.0,1
2014-01-06 16:53:00,53.5,54.0,54.0,55.7,0
2013-12-16 16:28:00,54.0,55.5,55.7,54.5,1
2013-12-04 16:53:00,55.7,54.5,54.5,52.9,0
2013-11-21 16:28:00,54.5,53.0,52.9,52.3,1
2013-11-06 16:53:00,52.9,52.3,52.3,53.7,0
2013-10-24 15:28:00,52.3,53.9,53.7,54.4,1
2013-10-03 15:53:00,53.7,54.4,54.4,52.8,0
2013-09-23 15:28:00,54.4,53.1,52.8,52.4,1
