datetime,US_RC_Actual,US_RC_Srv_Med,US_RC_Revised,US_RC_Prior
7/1/1994 17:00,1.3,,0.3,0.3
6/1/1994 17:00,0.3,,-0.5,-0.5
5/1/1994 17:00,-0.5,,1.7,1.7
4/1/1994 17:00,1.7,,1,1
3/1/1994 17:00,1,,0,0
2/1/1994 17:00,0,,0.6,0.6
1/1/1994 17:00,0.6,,0.2,0.2
12/1/1993 17:00,0.2,,0.3,0.3
11/1/1993 17:00,0.3,,1.2,1.2
10/1/1993 17:00,1.2,,-0.5,-0.5
9/1/1993 17:00,-0.5,,1.2,1.2
8/1/1993 17:00,1.2,,-0.2,-0.2
7/1/1993 17:00,-0.2,,0.9,0.9
6/1/1993 17:00,0.9,,1.6,1.6
5/1/1993 17:00,1.6,,-0.5,-0.5
4/1/1993 17:00,-0.5,,-0.6,-0.6
3/1/1993 17:00,-0.6,,0.5,0.5
