datetime,CAD_CPI_MoM_Actual,CAD_CPI_MoM_Srv_Med,CAD_CPI_MoM_Revised,CAD_CPI_MoM_Prior
8/1/1994 17:00,0.4,,0.2,0.2
7/1/1994 17:00,0.2,,-0.2,-0.2
6/1/1994 17:00,-0.2,,0,0
5/1/1994 17:00,0,,0,0
4/1/1994 17:00,0,,-0.8,-0.8
3/1/1994 17:00,-0.8,,0,0
2/1/1994 17:00,0,,-0.2,-0.2
1/1/1994 17:00,-0.2,,0.5,0.5
12/1/1993 17:00,0.5,,0.2,0.2
11/1/1993 17:00,0.2,,0,0
10/1/1993 17:00,0,,0.1,0.1
9/1/1993 17:00,0.1,,0.2,0.2
8/1/1993 17:00,0.2,,0,0
7/1/1993 17:00,0,,0.2,0.2
6/1/1993 17:00,0.2,,0,0
5/1/1993 17:00,0,,-0.1,-0.1
4/1/1993 17:00,-0.1,,0.4,0.4
3/1/1993 17:00,0.4,,0.4,
