datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
2003-04-01 17:00:00,0.70,,0.0,0.00,0.0
2003-03-01 17:00:00,0.00,,0.1,0.10,0.0
2003-02-01 17:00:00,0.10,,-0.2,-0.20,0.0
2003-01-01 17:00:00,-0.20,,2.1,2.10,0.0
2002-12-01 17:00:00,2.10,,-0.4,-0.40,0.0
2002-11-01 17:00:00,-0.40,,0.3,0.30,0.0
2002-10-01 17:00:00,0.30,,1.0,1.00,0.0
2002-09-01 17:00:00,1.00,,0.6,0.60,0.0
2002-08-01 17:00:00,0.60,,-0.8,-0.80,0.0
2002-07-01 17:00:00,-0.80,,1.6,1.60,0.0
2002-06-01 17:00:00,1.60,,0.8,0.80,0.0
2002-05-01 17:00:00,0.80,,0.7,0.70,0.0
2002-04-01 17:00:00,0.70,,-0.3,-0.30,0.0
2002-03-01 17:00:00,-0.30,,1.3,1.30,0.0
2002-02-01 17:00:00,1.30,,1.2,1.20,0.0
2002-01-01 17:00:00,1.20,,0.6,0.60,0.0
2001-12-01 17:00:00,0.60,,1.3,1.30,0.0
2001-11-01 17:00:00,1.30,,0.2,0.20,0.0
2001-10-01 17:00:00,0.20,,0.1,0.10,0.0
2001-09-01 17:00:00,0.10,,0.6,0.60,0.0
2001-08-01 17:00:00,0.60,,0.7,0.70,0.0
2001-07-01 17:00:00,0.70,,0.3,0.30,0.0
2001-06-01 17:00:00,0.30,,0.6,0.60,0.0
2001-05-01 17:00:00,0.60,,0.7,0.70,0.0
2001-04-01 17:00:00,0.70,,1.7,1.70,0.0
2001-03-01 17:00:00,1.70,,1.0,1.00,0.0
2001-02-01 17:00:00,1.00,,1.3,1.30,0.0
2001-01-01 17:00:00,1.30,,0.0,0.00,0.0
2000-12-01 17:00:00,0.00,,-0.9,-0.90,0.0
2000-11-01 17:00:00,-0.90,,1.9,1.90,0.0
2000-10-01 17:00:00,1.90,,5.3,5.30,0.0
2000-09-01 17:00:00,5.30,,-10.6,-10.60,0.0
2000-08-01 17:00:00,-10.60,,8.1,8.10,0.0
2000-07-01 17:00:00,8.10,,1.5,1.50,0.0
2000-06-01 17:00:00,1.50,,0.1,0.10,0.0
2000-05-01 17:00:00,0.10,,0.3,0.30,0.0
