datetime,BOE_RS_YoY_Actual,BOE_RS_YoY_Srv_Med,BOE_RS_YoY_Revised,BOE_RS_YoY_Prior
2000-04-01 17:00:00,2.6,,2.3,2.3
2000-03-01 17:00:00,2.3,,2.0,2.0
2000-02-01 17:00:00,2.0,,1.8,1.8
2000-01-01 17:00:00,1.8,,1.4,1.4
1999-12-01 17:00:00,1.4,,1.2,1.2
1999-11-01 17:00:00,1.2,,1.1,1.1
1999-10-01 17:00:00,1.1,,1.1,1.1
1999-09-01 17:00:00,1.1,,1.3,1.3
1999-08-01 17:00:00,1.3,,1.3,1.3
1999-07-01 17:00:00,1.3,,1.3,1.3
1999-06-01 17:00:00,1.3,,1.6,1.6
1999-05-01 17:00:00,1.6,,2.1,2.1
1999-04-01 17:00:00,2.1,,2.1,2.1
1999-03-01 17:00:00,2.1,,2.4,2.4
1999-02-01 17:00:00,2.4,,2.8,2.8
1999-01-01 17:00:00,2.8,,3.0,3.0
1998-12-01 17:00:00,3.0,,3.1,3.1
1998-11-01 17:00:00,3.1,,3.2,3.2
1998-10-01 17:00:00,3.2,,3.3,3.3
1998-09-01 17:00:00,3.3,,3.5,3.5
1998-08-01 17:00:00,3.5,,3.7,3.7
1998-07-01 17:00:00,3.7,,4.2,4.2
1998-06-01 17:00:00,4.2,,4.0,4.0
1998-05-01 17:00:00,4.0,,3.5,3.5
1998-04-01 17:00:00,3.5,,3.4,3.4
1998-03-01 17:00:00,3.4,,3.3,3.3
1998-02-01 17:00:00,3.3,,3.6,3.6
1998-01-01 17:00:00,3.6,,3.7,3.7
1997-12-01 17:00:00,3.7,,3.7,3.7
1997-11-01 17:00:00,3.7,,3.6,3.6
1997-10-01 17:00:00,3.6,,3.5,3.5
1997-09-01 17:00:00,3.5,,3.3,3.3
1997-08-01 17:00:00,3.3,,2.9,2.9
1997-07-01 17:00:00,2.9,,2.6,2.6
1997-06-01 17:00:00,2.6,,2.4,2.4
1997-05-01 17:00:00,2.4,,2.6,2.6
1997-04-01 17:00:00,2.6,,2.7,2.7
1997-03-01 17:00:00,2.7,,2.8,2.8
1997-02-01 17:00:00,2.8,,2.5,2.5
1997-01-01 17:00:00,2.5,,2.7,2.7
1996-12-01 17:00:00,2.7,,2.7,2.7
1996-11-01 17:00:00,2.7,,2.1,2.1
1996-10-01 17:00:00,2.1,,2.1,2.1
1996-09-01 17:00:00,2.1,,2.2,2.2
1996-08-01 17:00:00,2.2,,2.1,2.1
1996-07-01 17:00:00,2.1,,2.2,2.2
1996-06-01 17:00:00,2.2,,2.4,2.4
1996-05-01 17:00:00,2.4,,2.7,2.7
1996-04-01 17:00:00,2.7,,2.7,2.7
1996-03-01 17:00:00,2.7,,2.9,2.9
1996-02-01 17:00:00,2.9,,3.2,3.2
1996-01-01 17:00:00,3.2,,3.1,3.1
1995-12-01 17:00:00,3.1,,3.2,3.2
1995-11-01 17:00:00,3.2,,3.9,3.9
1995-10-01 17:00:00,3.9,,3.6,3.6
1995-09-01 17:00:00,3.6,,3.5,3.5
1995-08-01 17:00:00,3.5,,3.5,3.5
1995-07-01 17:00:00,3.5,,3.4,3.4
1995-06-01 17:00:00,3.4,,3.3,3.3
1995-05-01 17:00:00,3.3,,3.5,3.5
1995-04-01 17:00:00,3.5,,3.4,3.4
1995-03-01 17:00:00,3.4,,3.3,3.3
1995-02-01 17:00:00,3.3,,2.9,2.9
1995-01-01 17:00:00,2.9,,2.6,2.6
1994-12-01 17:00:00,2.6,,2.4,2.4
1994-11-01 17:00:00,2.4,,2.2,2.2
1994-10-01 17:00:00,2.2,,2.4,2.4
1994-09-01 17:00:00,2.4,,2.3,2.3
1994-08-01 17:00:00,2.3,,2.6,2.6
1994-07-01 17:00:00,2.6,,2.6,2.6
1994-06-01 17:00:00,2.6,,2.6,2.6
1994-05-01 17:00:00,2.6,,2.3,2.3
1994-04-01 17:00:00,2.3,,2.4,2.4
1994-03-01 17:00:00,2.4,,2.5,2.5
1994-02-01 17:00:00,2.5,,1.9,1.9
1994-01-01 17:00:00,1.9,,1.4,1.4
1993-12-01 17:00:00,1.4,,1.4,1.4
1993-11-01 17:00:00,1.4,,1.8,1.8
1993-10-01 17:00:00,1.8,,1.7,1.7
1993-09-01 17:00:00,1.7,,1.4,1.4
1993-08-01 17:00:00,1.4,,1.2,1.2
1993-07-01 17:00:00,1.2,,1.3,1.3
1993-06-01 17:00:00,1.3,,1.3,1.3
1993-05-01 17:00:00,1.3,,1.9,1.9
1993-04-01 17:00:00,1.9,,1.8,1.8
1993-03-01 17:00:00,1.8,,1.7,1.7
1993-02-01 17:00:00,1.7,,2.6,2.6
1993-01-01 17:00:00,2.6,,3.0,
