datetime,US_EHOIC_WoW_Actual,US_EHOIC_WoW_Srv_Med,US_EHOIC_WoW_Revised,US_EHOIC_WoW_Prior
2018-04-18 22:30:00,-0.26,,0.342,0.342
2018-04-11 22:30:00,0.342,,0.314,0.314
2018-04-04 22:30:00,0.314,,-0.526,-0.526
2018-03-28 22:30:00,-0.526,,0.36,0.36
2018-03-21 22:30:00,0.36,,-1.281,-1.281
2018-03-14 22:30:00,-1.281,,-0.365,-0.365
2018-03-07 23:30:00,-0.365,,-0.521,-0.521
2018-02-28 23:30:00,-0.521,,0.503,0.503
2018-02-23 00:00:00,0.503,,0.289,0.289
2018-02-14 23:30:00,0.289,,1.274,1.274
2018-02-07 23:30:00,1.274,,-0.021,-0.021
2018-01-31 23:30:00,-0.021,,1.503,1.503
2018-01-24 23:30:00,1.503,,0.084,0.084
2018-01-19 00:00:00,0.084,,-0.769,-0.769
2018-01-10 23:30:00,-0.769,,0.132,0.132
2018-01-05 00:00:00,0.132,,-0.545,-0.545
2017-12-29 00:00:00,-0.545,,0.753,0.753
2017-12-20 23:30:00,0.753,,-0.139,-0.139
2017-12-13 23:30:00,-0.139,,-0.786,-0.786
2017-12-06 23:30:00,-0.786,,0.588,0.588
2017-11-29 23:30:00,0.588,,-0.06,-0.06
2017-11-22 23:30:00,-0.06,,-0.463,-0.463
2017-11-15 23:30:00,-0.463,,-0.529,-0.529
2017-11-08 23:30:00,-0.529,,-0.533,-0.533
2017-11-01 22:30:00,-0.533,,-0.279,-0.279
2017-10-25 22:30:00,-0.279,,0.237,0.237
2017-10-18 22:30:00,0.237,,0.126,0.126
2017-10-12 23:00:00,0.126,,0.154,0.154
2017-10-04 22:30:00,0.154,,0.863,0.863
2017-09-27 22:30:00,0.863,,-0.627,-0.627
2017-09-20 22:30:00,-0.627,,0.035,0.035
2017-09-13 22:30:00,0.035,,0.471,0.471
2017-09-07 23:00:00,0.471,,0.129,0.129
2017-08-30 22:30:00,0.129,,0.45,0.45
2017-08-23 22:30:00,0.45,,0.555,0.555
2017-08-16 22:30:00,0.555,,-0.703,-0.703
2017-08-09 22:30:00,-0.703,,0.486,0.486
2017-08-02 22:30:00,0.486,,0.064,0.064
2017-07-26 22:30:00,0.064,,0.073,0.073
2017-07-19 22:30:00,0.073,,-0.199,-0.199
2017-07-12 22:30:00,-0.199,,-0.066,-0.066
2017-07-06 23:00:00,-0.066,,0.078,0.078
2017-06-28 22:30:00,0.078,,-0.207,-0.207
2017-06-21 22:30:00,-0.207,,-0.273,-0.273
2017-06-14 22:30:00,-0.273,,0.607,0.607
2017-06-07 22:30:00,0.607,,0.157,0.157
2017-06-01 23:00:00,0.157,,-0.43,-0.43
2017-05-24 22:30:00,-0.43,,0.46,0.46
2017-05-17 22:30:00,0.46,,-0.185,-0.185
2017-05-10 22:30:00,-0.185,,-0.265,-0.265
2017-05-03 22:30:00,-0.265,,0.014,0.014
2017-04-26 22:30:00,0.014,,-0.707,-0.707
2017-04-19 22:30:00,-0.707,,0.32,0.32
2017-04-12 22:30:00,0.32,,-0.31,-0.31
2017-04-05 22:30:00,-0.31,,-1.354,-1.354
2017-03-29 22:30:00,-1.354,,0.09,0.09
2017-03-22 22:30:00,0.09,,-0.99,-0.99
2017-03-15 22:30:00,-0.99,,-1.012,-1.012
2017-03-08 23:30:00,-1.012,,0.185,0.185
2017-03-01 23:30:00,0.185,,0.036,0.036
2017-02-24 00:00:00,0.036,,-0.343,-0.343
2017-02-15 23:30:00,-0.343,,0.788,0.788
2017-02-08 23:30:00,0.788,,-0.892,-0.892
2017-02-01 23:30:00,-0.892,,0.641,0.641
2017-01-25 23:30:00,0.641,,-0.133,-0.133
2017-01-20 00:00:00,-0.133,,-0.923,-0.923
2017-01-11 23:30:00,-0.923,,0.986,0.986
2017-01-06 00:00:00,0.986,,-0.585,-0.585
2016-12-30 00:00:00,-0.585,,-1.338,-1.338
2016-12-21 23:30:00,-1.338,,0.297,0.297
2016-12-14 23:30:00,0.297,,-0.165,-0.165
2016-12-07 23:30:00,-0.165,,0.328,0.328
2016-11-30 23:30:00,0.328,,-0.012,-0.012
