datetime,US_EOCOIC_WoW_Actual,US_EOCOIC_WoW_Srv_Med,US_EOCOIC_WoW_Revised,US_EOCOIC_WoW_Prior
2017-12-20 23:30:00,0.754,,-3.317,-3.317
2017-12-13 23:30:00,-3.317,,-2.753,-2.753
2017-12-06 23:30:00,-2.753,,-2.914,-2.914
2017-11-29 23:30:00,-2.914,,-1.827,-1.827
2017-11-22 23:30:00,-1.827,,-1.504,-1.504
2017-11-15 23:30:00,-1.504,,0.72,0.72
2017-11-08 23:30:00,0.72,,0.09,0.09
2017-11-01 22:30:00,0.09,,-0.237,-0.237
2017-10-25 22:30:00,-0.237,,0.202,0.202
2017-10-18 22:30:00,0.202,,1.322,1.322
2017-10-12 23:00:00,1.322,,1.525,1.525
2017-10-04 22:30:00,1.525,,1.181,1.181
2017-09-27 22:30:00,1.181,,0.703,0.703
2017-09-20 22:30:00,0.703,,1.023,1.023
2017-09-13 22:30:00,1.023,,0.797,0.797
2017-09-07 23:00:00,0.797,,0.689,0.689
2017-08-30 22:30:00,0.689,,-0.503,-0.503
2017-08-23 22:30:00,-0.503,,0.678,0.678
2017-08-16 22:30:00,0.678,,0.569,0.569
2017-08-09 22:30:00,0.569,,-0.039,-0.039
2017-08-02 22:30:00,-0.039,,-1.699,-1.699
2017-07-26 22:30:00,-1.699,,-0.023,-0.023
2017-07-19 22:30:00,-0.023,,-1.948,-1.948
2017-07-12 22:30:00,-1.948,,-1.334,-1.334
2017-07-06 23:00:00,-1.334,,-0.297,-0.297
2017-06-28 22:30:00,-0.297,,-1.08,-1.08
2017-06-21 22:30:00,-1.08,,-1.156,-1.156
2017-06-14 22:30:00,-1.156,,-1.444,-1.444
2017-06-07 22:30:00,-1.444,,-0.747,-0.747
2017-06-01 23:00:00,-0.747,,-0.741,-0.741
2017-05-24 22:30:00,-0.741,,0.035,0.035
2017-05-17 22:30:00,0.035,,-0.438,-0.438
2017-05-10 22:30:00,-0.438,,-0.728,-0.728
2017-05-03 22:30:00,-0.728,,-1.203,-1.203
2017-04-26 22:30:00,-1.203,,-0.778,-0.778
2017-04-19 22:30:00,-0.778,,0.276,0.276
2017-04-12 22:30:00,0.276,,1.413,1.413
2017-04-05 22:30:00,1.413,,-0.22,-0.22
2017-03-29 22:30:00,-0.22,,1.419,1.419
2017-03-22 22:30:00,1.419,,2.13,2.13
2017-03-15 22:30:00,2.13,,0.867,0.867
2017-03-08 23:30:00,0.867,,0.495,0.495
2017-03-01 23:30:00,0.495,,-1.528,-1.528
2017-02-24 00:00:00,-1.528,,-0.702,-0.702
2017-02-15 23:30:00,-0.702,,1.143,1.143
2017-02-08 23:30:00,1.143,,-1.245,-1.245
2017-02-01 23:30:00,-1.245,,-0.284,-0.284
2017-01-25 23:30:00,-0.284,,-1.274,-1.274
2017-01-20 00:00:00,-1.274,,-0.579,-0.579
2017-01-11 23:30:00,-0.579,,1.074,1.074
2017-01-06 00:00:00,1.074,,0.172,0.172
2016-12-30 00:00:00,0.172,,-0.245,-0.245
2016-12-21 23:30:00,-0.245,,1.223,1.223
2016-12-14 23:30:00,1.223,,3.783,3.783
2016-12-07 23:30:00,3.783,,2.419,2.419
2016-11-30 23:30:00,2.419,,-0.087,-0.087
2016-11-23 23:30:00,-0.087,,0.691,0.691
2016-11-16 23:30:00,0.691,,0.028,0.028
2016-11-09 23:30:00,0.028,,0.089,0.089
2016-11-02 22:30:00,0.089,,-1.337,-1.337
2016-10-26 22:30:00,-1.337,,-1.635,-1.635
2016-10-19 22:30:00,-1.635,,-1.318,-1.318
2016-10-13 23:00:00,-1.318,,0.569,0.569
2016-10-05 22:30:00,0.569,,-0.631,-0.631
2016-09-28 22:30:00,-0.631,,0.526,0.526
2016-09-21 22:30:00,0.526,,-1.245,-1.245
2016-09-14 22:30:00,-1.245,,-0.434,-0.434
2016-09-08 23:00:00,-0.434,,-1.039,-1.039
2016-08-31 22:30:00,-1.039,,0.375,0.375
2016-08-24 22:30:00,0.375,,-0.724,
